Room_Id,Room_Name,Booking_Id,Capacity,Room_type,Building_Number,Building_Name,Floor_Number,Utilities,Media
pK-4N,Dollar,m6u-38Wy,1,Cubicle,n3W-2275,Asteraceae,6,Marker,http://dummyimage.com/152x100.png/5fa2dd/ffffff
lH-2D,Peso,DeI-68Wv,4,Conference Hall,F9e-07Gq,Asteraceae,0,Air Conditioner,http://dummyimage.com/203x100.png/5fa2dd/ffffff
bP-1O,Rial,uUg-10bi,3,Conference Hall,i0r-028G,Polygonaceae,8,Water Filter,http://dummyimage.com/183x100.png/dddddd/000000
ZP-2w,Yuan Renminbi,spg-98Mq,6,Conference Hall,k0E-49xL,Apiaceae,1,Water Filter,http://dummyimage.com/222x100.png/5fa2dd/ffffff
zW-8C,Rupiah,h9V-42C4,6,Conference Hall,45A-25J3,Asteraceae,1,Marker,http://dummyimage.com/217x100.png/ff4444/ffffff
Qr-0q,Peso,OUE-44W6,10,Conference Hall,l1j-8254,Asteraceae,6,Duster,http://dummyimage.com/214x100.png/cc0000/ffffff
mb-72,Rupiah,psZ-60BO,1,Conference Hall,Q9Q-87jB,Cladoniaceae,2,Projector,http://dummyimage.com/211x100.png/ff4444/ffffff
Dx-0Q,Dinar,kzw-43GF,5,Conference Hall,g9v-28Rf,Lamiaceae,7,Projector,http://dummyimage.com/235x100.png/dddddd/000000
zb-1r,Rupiah,3N1-77mP,6,Conference Hall,U5k-84MD,Geraniaceae,9,Marker,http://dummyimage.com/210x100.png/5fa2dd/ffffff
xo-4H,Rupiah,23P-10kx,1,Conference Hall,x6E-43VH,Asteraceae,7,Duster,http://dummyimage.com/171x100.png/ff4444/ffffff
Jt-90,Sol,6M9-73yj,9,Conference Hall,K9e-58Bm,Bartramiaceae,8,Projector,http://dummyimage.com/200x100.png/dddddd/000000
75-3q,Peso,z86-9720,7,Conference Hall,n0R-486Q,Asteraceae,4,Water Filter,http://dummyimage.com/240x100.png/cc0000/ffffff
Wo-5o,Franc,ZZj-54nP,4,Conference Hall,60y-33sd,Rosaceae,4,Air Conditioner,http://dummyimage.com/148x100.png/cc0000/ffffff
pK-7f,Yuan Renminbi,LcZ-61Sm,8,Conference Hall,D6H-27RW,Asteraceae,2,Projector,http://dummyimage.com/204x100.png/dddddd/000000
e8-54,Euro,RWn-625o,9,Conference Hall,M7b-32Ao,Fumariaceae,4,Water Filter,http://dummyimage.com/127x100.png/5fa2dd/ffffff
iu-0Q,Yuan Renminbi,EwU-21A3,2,Cubicle,35s-23X5,Onagraceae,3,Water Filter,http://dummyimage.com/122x100.png/cc0000/ffffff
ie-7J,Euro,jVD-19Uc,7,Conference Hall,O4P-09fM,Fabaceae,4,Air Conditioner,http://dummyimage.com/223x100.png/ff4444/ffffff
7A-26,Euro,XoP-07XU,4,Conference Hall,w5F-78Nb,Cyperaceae,7,Duster,http://dummyimage.com/199x100.png/5fa2dd/ffffff
yu-8y,Ringgit,fmG-21q0,1,Cubicle,T0f-739j,Lamiaceae,9,Water Filter,http://dummyimage.com/178x100.png/cc0000/ffffff
zw-2Q,Peso,OX1-41Bt,1,Cubicle,I3d-13zt,Liliaceae,5,Projector,http://dummyimage.com/248x100.png/cc0000/ffffff
oz-0M,Yuan Renminbi,jUw-7503,8,Conference Hall,56P-55Fw,Primulaceae,0,Duster,http://dummyimage.com/218x100.png/cc0000/ffffff
Qb-5n,Peso,5SD-56tY,9,Conference Hall,V4w-20Wi,Scrophulariaceae,9,Marker,http://dummyimage.com/114x100.png/5fa2dd/ffffff
GN-8k,Yuan Renminbi,Wx3-075f,10,Conference Hall,r9W-06yQ,Boraginaceae,4,Duster,http://dummyimage.com/201x100.png/dddddd/000000
g3-7D,Naira,4T3-77ZI,8,Conference Hall,G20-04Xa,Asclepiadaceae,3,Duster,http://dummyimage.com/101x100.png/ff4444/ffffff
f0-89,Euro,Qwj-54xs,1,Conference Hall,i9V-60rN,Mycocaliciaceae,7,Air Conditioner,http://dummyimage.com/101x100.png/dddddd/000000
Ho-9N,Yuan Renminbi,2Su-53n2,8,Conference Hall,371-50As,Fabaceae,7,Air Conditioner,http://dummyimage.com/239x100.png/5fa2dd/ffffff
Z8-6E,Rupiah,Drp-77Nr,5,Conference Hall,s70-40fK,Dryopteridaceae,6,Marker,http://dummyimage.com/206x100.png/5fa2dd/ffffff
zw-3A,Krona,brt-96ha,6,Conference Hall,h8k-20jt,Lamiaceae,0,Projector,http://dummyimage.com/243x100.png/5fa2dd/ffffff
we-2y,Yuan Renminbi,Tay-602q,2,Cubicle,H5u-34rk,Asteraceae,1,Projector,http://dummyimage.com/164x100.png/ff4444/ffffff
G8-12,Franc,SVC-96zg,3,Conference Hall,G9n-62GQ,Rosaceae,8,Projector,http://dummyimage.com/124x100.png/dddddd/000000
ic-1Y,Euro,FEE-61qk,6,Conference Hall,Q2W-88od,Fabaceae,1,Water Filter,http://dummyimage.com/238x100.png/ff4444/ffffff
KR-5v,Rupiah,b5q-43bu,10,Conference Hall,V3k-64Gl,Gentianaceae,4,Marker,http://dummyimage.com/156x100.png/dddddd/000000
MH-15,Shekel,LML-196y,5,Conference Hall,78z-86gt,Pottiaceae,7,Air Conditioner,http://dummyimage.com/171x100.png/cc0000/ffffff
ty-6N,Lempira,oyu-61P9,6,Conference Hall,p0S-620t,Graphidaceae,4,Water Filter,http://dummyimage.com/119x100.png/dddddd/000000
UO-4G,Rupiah,cff-35UD,9,Conference Hall,e8k-958y,Trichotheliaceae,7,Air Conditioner,http://dummyimage.com/246x100.png/5fa2dd/ffffff
Km-0A,Boliviano,rqU-39jy,4,Conference Hall,O3P-927a,Verrucariaceae,4,Marker,http://dummyimage.com/220x100.png/5fa2dd/ffffff
FC-3l,Dong,If3-55PY,1,Conference Hall,q6r-44nF,Campanulaceae,1,Water Filter,http://dummyimage.com/211x100.png/ff4444/ffffff
Ik-3M,Dirham,JwY-20uv,7,Conference Hall,v6o-35iX,Cyperaceae,1,Monitor,http://dummyimage.com/196x100.png/dddddd/000000
AQ-5O,Dollar,ZYN-443g,6,Conference Hall,l60-69Qr,Polemoniaceae,9,Water Filter,http://dummyimage.com/102x100.png/dddddd/000000
uz-0v,Rupiah,A4I-32LR,8,Conference Hall,88q-82fE,Chenopodiaceae,1,Duster,http://dummyimage.com/129x100.png/ff4444/ffffff
nd-7D,Shilling,EfU-69rh,3,Conference Hall,32a-85iV,Rosaceae,9,Air Conditioner,http://dummyimage.com/171x100.png/5fa2dd/ffffff
mu-8e,Ruble,bVQ-412K,5,Conference Hall,c69-378e,Onagraceae,7,Water Filter,http://dummyimage.com/235x100.png/dddddd/000000
r9-8Z,Dollar,Zne-45LF,7,Conference Hall,609-77UD,Acanthaceae,9,Water Filter,http://dummyimage.com/184x100.png/ff4444/ffffff
ut-2F,Guarani,jDr-36d2,3,Conference Hall,008-87L2,Hydrophyllaceae,3,Marker,http://dummyimage.com/181x100.png/ff4444/ffffff
lL-6k,Yuan Renminbi,PNK-37KQ,8,Conference Hall,t40-09gP,Onagraceae,4,Marker,http://dummyimage.com/141x100.png/ff4444/ffffff
MV-4O,Krona,5Eo-47Qj,7,Conference Hall,18Y-37LT,Nyctaginaceae,3,Water Filter,http://dummyimage.com/239x100.png/dddddd/000000
Ib-1k,Rupiah,E87-9388,5,Conference Hall,z69-39z6,Xyridaceae,1,Projector,http://dummyimage.com/126x100.png/ff4444/ffffff
bB-5D,Dollar,Ks1-07cm,8,Conference Hall,p3J-50LO,Asteraceae,5,Projector,http://dummyimage.com/231x100.png/dddddd/000000
pp-4A,Hryvnia,kmL-04DM,8,Conference Hall,r75-61Mt,Rhamnaceae,4,Monitor,http://dummyimage.com/151x100.png/dddddd/000000
VE-54,Yuan Renminbi,btR-54f1,4,Conference Hall,R7B-64Ca,Liliaceae,8,Marker,http://dummyimage.com/144x100.png/cc0000/ffffff
E5-7X,Ruble,4U7-5085,6,Conference Hall,M0Z-96kq,Lecanoraceae,9,Water Filter,http://dummyimage.com/112x100.png/dddddd/000000
ef-8M,Dollar,zuA-558a,2,Conference Hall,L4r-584H,Caryophyllaceae,8,Water Filter,http://dummyimage.com/215x100.png/ff4444/ffffff
Gr-83,Peso,xVk-94qP,6,Conference Hall,812-57p7,Campanulaceae,3,Monitor,http://dummyimage.com/190x100.png/ff4444/ffffff
Sl-5L,Rupiah,4pb-12R9,5,Conference Hall,89B-10ne,Brassicaceae,8,Marker,http://dummyimage.com/162x100.png/ff4444/ffffff
Ui-1x,Kyat,ehI-97dO,7,Conference Hall,v7X-12uK,Araceae,6,Duster,http://dummyimage.com/113x100.png/dddddd/000000
Gq-9r,Rand,DeS-16bC,1,Conference Hall,z6B-769s,Rosaceae,2,Marker,http://dummyimage.com/190x100.png/ff4444/ffffff
yL-9b,Rupiah,Nhp-11hW,5,Conference Hall,Y92-45FM,Umbilicariaceae,9,Projector,http://dummyimage.com/193x100.png/ff4444/ffffff
Kl-7n,Dollar,pBf-987O,7,Conference Hall,v2S-87OA,Caryophyllaceae,0,Monitor,http://dummyimage.com/249x100.png/cc0000/ffffff
xn-5S,Lempira,lgw-69WW,5,Conference Hall,Q8F-44t9,Portulacaceae,8,Water Filter,http://dummyimage.com/214x100.png/ff4444/ffffff
gj-4B,Ringgit,Ymc-49cB,5,Conference Hall,O6Z-48xQ,Balsaminaceae,0,Duster,http://dummyimage.com/146x100.png/cc0000/ffffff
dF-5G,Yuan Renminbi,Cfw-75bl,8,Conference Hall,M2L-57jO,Rosaceae,5,Marker,http://dummyimage.com/124x100.png/cc0000/ffffff
vO-9f,Peso,kTO-26R9,9,Conference Hall,y1u-17wn,Rosaceae,9,Duster,http://dummyimage.com/171x100.png/dddddd/000000
Gw-62,Dollar,jzN-94mx,10,Conference Hall,Z63-06eM,Fabaceae,1,Duster,http://dummyimage.com/184x100.png/5fa2dd/ffffff
6W-4K,Dollar,GP8-99L7,9,Conference Hall,G9u-25b4,Pertusariaceae,4,Projector,http://dummyimage.com/193x100.png/ff4444/ffffff
6B-1y,Won,X7P-91v9,6,Conference Hall,K70-38hA,Salicaceae,5,Projector,http://dummyimage.com/237x100.png/dddddd/000000
N1-7o,Yuan Renminbi,tLr-11xy,3,Conference Hall,V2n-29Zf,Asteraceae,8,Water Filter,http://dummyimage.com/111x100.png/ff4444/ffffff
Ju-1N,Krona,mDF-90wy,3,Conference Hall,e4z-45O8,Lichinaceae,8,Monitor,http://dummyimage.com/102x100.png/ff4444/ffffff
TT-0H,Ruble,mEJ-87tA,2,Cubicle,281-55os,Rutaceae,3,Projector,http://dummyimage.com/234x100.png/cc0000/ffffff
Vs-8B,Ruble,b6R-67xw,7,Conference Hall,N4k-36Bb,Cactaceae,7,Monitor,http://dummyimage.com/217x100.png/5fa2dd/ffffff
U7-6S,Peso,orI-67bK,7,Conference Hall,w4a-532R,Scrophulariaceae,9,Monitor,http://dummyimage.com/134x100.png/cc0000/ffffff
NI-3T,Baht,IPP-20i0,6,Conference Hall,R2s-975m,Celastraceae,9,Water Filter,http://dummyimage.com/150x100.png/5fa2dd/ffffff
7p-8I,Euro,2IV-79yT,1,Conference Hall,v6X-97KY,Polygonaceae,1,Monitor,http://dummyimage.com/135x100.png/cc0000/ffffff
zK-8x,Dollar,84y-66W7,1,Conference Hall,W9V-92H5,Solanaceae,3,Air Conditioner,http://dummyimage.com/114x100.png/5fa2dd/ffffff
jC-0T,Yuan Renminbi,DeS-16bC,4,Conference Hall,W2H-14dS,Asteraceae,7,Duster,http://dummyimage.com/117x100.png/ff4444/ffffff
1C-7t,Peso,C3k-79ZS,7,Conference Hall,12n-72Be,Scrophulariaceae,1,Monitor,http://dummyimage.com/118x100.png/ff4444/ffffff
x5-8n,Dollar,bjN-40GC,6,Conference Hall,91F-15xr,Cyperaceae,6,Water Filter,http://dummyimage.com/214x100.png/5fa2dd/ffffff
gi-3m,Yuan Renminbi,uhi-54Jl,7,Conference Hall,K3k-257S,Pottiaceae,2,Projector,http://dummyimage.com/230x100.png/5fa2dd/ffffff
2B-3R,Won,9rd-43zi,1,Conference Hall,E1v-39Kw,Primulaceae,7,Projector,http://dummyimage.com/176x100.png/dddddd/000000
tM-0I,Yuan Renminbi,G1O-213D,8,Conference Hall,746-26zH,Iridaceae,6,Duster,http://dummyimage.com/220x100.png/5fa2dd/ffffff
xd-1T,Euro,TVg-602D,8,Conference Hall,Z4e-84Kc,Pontederiaceae,8,Air Conditioner,http://dummyimage.com/102x100.png/cc0000/ffffff
g1-0Z,Yuan Renminbi,4vS-92uc,2,Conference Hall,v6o-35iX,Cyperaceae,1,Monitor,http://dummyimage.com/191x100.png/5fa2dd/ffffff
iI-06,Euro,HZ6-73d5,9,Conference Hall,k8n-08Ax,Asteraceae,0,Air Conditioner,http://dummyimage.com/105x100.png/ff4444/ffffff
TQ-4d,Euro,oGk-06US,3,Conference Hall,k6N-78vt,Fabaceae,2,Marker,http://dummyimage.com/152x100.png/cc0000/ffffff
n1-6G,Dollar,JYz-98Gk,3,Conference Hall,t16-06t0,Ranunculaceae,5,Air Conditioner,http://dummyimage.com/225x100.png/cc0000/ffffff
Ix-2S,Yuan Renminbi,nym-58gM,2,Conference Hall,C0o-11Yq,Scrophulariaceae,1,Monitor,http://dummyimage.com/137x100.png/5fa2dd/ffffff
8k-6T,Euro,7A9-97OA,4,Conference Hall,281-55os,Rutaceae,6,Duster,http://dummyimage.com/214x100.png/5fa2dd/ffffff
Lf-6P,Franc,zXu-22Yi,4,Conference Hall,o3S-54BL,Hydrophyllaceae,8,Duster,http://dummyimage.com/213x100.png/dddddd/000000
kQ-40,Peso,teX-19ue,1,Conference Hall,o34-52Ec,Malvaceae,5,Duster,http://dummyimage.com/231x100.png/ff4444/ffffff
aA-8R,Real,g7m-09lU,1,Cubicle,06r-13L6,Physciaceae,6,Air Conditioner,http://dummyimage.com/191x100.png/ff4444/ffffff
kZ-2n,Bolivar,Eya-15cK,9,Conference Hall,h8k-20jt,Lamiaceae,2,Projector,http://dummyimage.com/195x100.png/5fa2dd/ffffff
IC-6b,Zloty,6ke-35Qx,2,Conference Hall,73T-93gN,Lamiaceae,8,Air Conditioner,http://dummyimage.com/184x100.png/5fa2dd/ffffff
yz-2a,Zloty,bR0-82oR,6,Conference Hall,21w-01kr,Fabaceae,5,Water Filter,http://dummyimage.com/213x100.png/ff4444/ffffff
Bq-3l,Krona,wsK-468y,5,Conference Hall,59R-96Xg,Apocynaceae,9,Monitor,http://dummyimage.com/238x100.png/ff4444/ffffff
ol-1B,Yuan Renminbi,je1-690a,5,Conference Hall,v6U-75rI,Cyperaceae,9,Water Filter,http://dummyimage.com/123x100.png/ff4444/ffffff
ZR-8y,Yuan Renminbi,SH9-52vs,5,Conference Hall,K4j-16Kv,Hypnaceae,2,Projector,http://dummyimage.com/192x100.png/ff4444/ffffff
7p-5Y,Dong,rDd-67uO,5,Conference Hall,32l-74iK,Asteraceae,2,Duster,http://dummyimage.com/129x100.png/ff4444/ffffff
PL-2h,Zloty,eer-92ZV,5,Conference Hall,u7r-09vu,Apiaceae,8,Monitor,http://dummyimage.com/221x100.png/ff4444/ffffff
jc-0u,Yuan Renminbi,99R-25qQ,5,Conference Hall,z69-39z6,Xyridaceae,8,Duster,http://dummyimage.com/183x100.png/cc0000/ffffff
dh-9F,Yuan Renminbi,Mp2-73HV,6,Conference Hall,t40-09gP,Onagraceae,3,Air Conditioner,http://dummyimage.com/156x100.png/5fa2dd/ffffff
nt-3W,Yuan Renminbi,oqJ-32GS,9,Conference Hall,d3o-75WU,Polygonaceae,2,Air Conditioner,http://dummyimage.com/143x100.png/cc0000/ffffff
ue-0C,Lempira,jhX-82GX,7,Conference Hall,92G-359K,Isoetaceae,0,Projector,http://dummyimage.com/164x100.png/cc0000/ffffff
ZN-3O,Peso,3Ev-0885,6,Conference Hall,139-72Cc,Fumariaceae,3,Water Filter,http://dummyimage.com/209x100.png/dddddd/000000
eJ-37,Baht,qoP-81Oo,9,Conference Hall,45A-25J3,Asteraceae,3,Monitor,http://dummyimage.com/236x100.png/dddddd/000000
SM-39,Boliviano,wYd-172Z,8,Conference Hall,P6E-60as,Psoraceae,8,Water Filter,http://dummyimage.com/132x100.png/dddddd/000000
YN-1u,Dollar,T0T-61Wj,5,Conference Hall,L8C-78Dv,Fabaceae,2,Duster,http://dummyimage.com/108x100.png/cc0000/ffffff
yP-07,Pound,7AV-05gB,1,Cubicle,A2P-75hY,Fabaceae,3,Marker,http://dummyimage.com/167x100.png/dddddd/000000
O0-25,Franc,BOP-552o,8,Conference Hall,f0q-95BW,Pinaceae,6,Projector,http://dummyimage.com/192x100.png/5fa2dd/ffffff
SL-0D,Ruble,4U7-5085,5,Conference Hall,D5y-89sz,Orobanchaceae,3,Water Filter,http://dummyimage.com/166x100.png/ff4444/ffffff
8G-5d,Baht,Knl-62yR,9,Conference Hall,L1F-291T,Thelotremataceae,6,Air Conditioner,http://dummyimage.com/126x100.png/ff4444/ffffff
KB-22,Peso,hox-745t,1,Cubicle,p1a-62R5,Anemiaceae,9,Duster,http://dummyimage.com/238x100.png/cc0000/ffffff
Qt-1K,Euro,a8s-56KB,9,Conference Hall,G5j-660q,Pteridaceae,9,Duster,http://dummyimage.com/241x100.png/ff4444/ffffff
y2-9H,Rupee,i7T-89q8,10,Conference Hall,X0k-03Vw,Juncaceae,5,Marker,http://dummyimage.com/186x100.png/5fa2dd/ffffff
Iq-6P,Ruble,y02-42kU,6,Conference Hall,t1J-22D5,Fabaceae,1,Water Filter,http://dummyimage.com/120x100.png/ff4444/ffffff
CS-2M,Peso,Qew-54k3,10,Conference Hall,V8z-16as,Asteraceae,6,Monitor,http://dummyimage.com/135x100.png/5fa2dd/ffffff
iQ-8H,Yen,rZH-26hZ,3,Conference Hall,j3w-14ih,Dryopteridaceae,0,Marker,http://dummyimage.com/196x100.png/ff4444/ffffff
4w-5u,Baht,68L-97xV,7,Conference Hall,07V-90HT,Asteraceae,9,Water Filter,http://dummyimage.com/202x100.png/dddddd/000000
LF-0P,Franc,6iZ-25ab,5,Conference Hall,Z2y-08ZT,Betulaceae,1,Air Conditioner,http://dummyimage.com/160x100.png/ff4444/ffffff
pu-4Q,Yuan Renminbi,SCK-60q9,2,Conference Hall,n46-73F4,Rosaceae,7,Air Conditioner,http://dummyimage.com/181x100.png/5fa2dd/ffffff
Br-4M,Rupiah,GGc-53Rz,5,Conference Hall,h3q-63VH,Amaranthaceae,3,Duster,http://dummyimage.com/229x100.png/5fa2dd/ffffff
kS-8b,Krone,foY-32Df,10,Conference Hall,H3v-91iq,Poaceae,2,Marker,http://dummyimage.com/227x100.png/dddddd/000000
k1-44,Dram,PsD-01CP,7,Conference Hall,Z64-06w0,Caprifoliaceae,2,Water Filter,http://dummyimage.com/194x100.png/cc0000/ffffff
Ed-8h,Peso,u2G-82ot,8,Conference Hall,k0E-49xL,Apiaceae,9,Air Conditioner,http://dummyimage.com/241x100.png/cc0000/ffffff
mA-4R,Yuan Renminbi,1nN-14Kp,3,Conference Hall,v5n-77Gy,Pottiaceae,1,Duster,http://dummyimage.com/243x100.png/dddddd/000000
8z-8e,Rand,rqU-39jy,8,Conference Hall,Q9Q-87jB,Cladoniaceae,2,Water Filter,http://dummyimage.com/198x100.png/ff4444/ffffff
yn-6J,Ringgit,rNS-41sS,2,Conference Hall,085-743i,Rosaceae,4,Duster,http://dummyimage.com/119x100.png/ff4444/ffffff
nE-9H,Peso,nHr-07eU,3,Conference Hall,59S-80bM,Parmeliaceae,1,Projector,http://dummyimage.com/194x100.png/dddddd/000000
Vw-1O,Tugrik,5F1-29W7,5,Conference Hall,74u-287Z,Bacidiaceae,5,Air Conditioner,http://dummyimage.com/184x100.png/dddddd/000000
zm-3H,Rupiah,mOd-64gm,6,Conference Hall,o45-13M8,Fuscideaceae,0,Monitor,http://dummyimage.com/174x100.png/5fa2dd/ffffff
iT-5I,Real,X2I-46Cg,6,Conference Hall,d3g-12do,Fabaceae,3,Projector,http://dummyimage.com/158x100.png/dddddd/000000
My-9E,Euro,i0H-524t,7,Conference Hall,V2n-29Zf,Asteraceae,3,Air Conditioner,http://dummyimage.com/241x100.png/5fa2dd/ffffff
jY-1F,Yuan Renminbi,7nv-03Eo,3,Conference Hall,F4G-54U2,Sphagnaceae,5,Air Conditioner,http://dummyimage.com/136x100.png/ff4444/ffffff
uD-0M,Peso,0Gf-869Y,9,Conference Hall,P9O-87M1,Saxifragaceae,4,Air Conditioner,http://dummyimage.com/115x100.png/5fa2dd/ffffff
6J-7o,Yuan Renminbi,fmX-945X,6,Conference Hall,d8b-077A,Lichinaceae,4,Air Conditioner,http://dummyimage.com/219x100.png/5fa2dd/ffffff
Zi-1n,Dram,ugI-05xY,10,Conference Hall,F1m-052j,Porpidiaceae,4,Monitor,http://dummyimage.com/188x100.png/dddddd/000000
Wp-9N,Yuan Renminbi,020-86Ym,2,Cubicle,o79-02Yz,Diapensiaceae,1,Monitor,http://dummyimage.com/119x100.png/dddddd/000000
jv-39,Rupiah,A9F-75dc,9,Conference Hall,Q8F-44t9,Portulacaceae,2,Marker,http://dummyimage.com/127x100.png/dddddd/000000
3l-3o,Real,8zB-90K5,7,Conference Hall,d03-19tS,Caryophyllaceae,0,Air Conditioner,http://dummyimage.com/169x100.png/5fa2dd/ffffff
ZD-28,Peso,7mp-33ft,7,Conference Hall,p5Y-87Du,Scrophulariaceae,6,Duster,http://dummyimage.com/167x100.png/cc0000/ffffff
Yf-22,Euro,QOc-85Rd,6,Conference Hall,H3j-46Ot,Thelotremataceae,6,Air Conditioner,http://dummyimage.com/206x100.png/5fa2dd/ffffff
D9-8V,Yuan Renminbi,gqv-502v,3,Conference Hall,23e-96M1,Orchidaceae,0,Marker,http://dummyimage.com/220x100.png/cc0000/ffffff
0p-1B,Peso,hCx-74Ji,3,Conference Hall,P91-22D2,Linaceae,0,Marker,http://dummyimage.com/123x100.png/cc0000/ffffff
eh-7y,Kuna,xMn-27xz,4,Conference Hall,R7d-584e,Asteraceae,1,Monitor,http://dummyimage.com/236x100.png/5fa2dd/ffffff
PS-60,Naira,lgw-69WW,9,Conference Hall,l2K-43HE,Pertusariaceae,7,Duster,http://dummyimage.com/185x100.png/dddddd/000000
gi-7K,Hryvnia,Swa-27JV,5,Conference Hall,89B-10ne,Brassicaceae,1,Marker,http://dummyimage.com/175x100.png/cc0000/ffffff
r2-31,Real,x2m-31Li,1,Cubicle,h0a-39uY,Trapeliaceae,5,Duster,http://dummyimage.com/206x100.png/ff4444/ffffff
71-2q,Rupee,Ymc-49cB,3,Conference Hall,E4G-46Fp,Polygonaceae,0,Duster,http://dummyimage.com/178x100.png/ff4444/ffffff
jt-8x,Colon,CTn-701o,8,Conference Hall,x1K-93KI,Brassicaceae,7,Marker,http://dummyimage.com/242x100.png/dddddd/000000
Kc-6L,Peso,1fk-38Ey,4,Conference Hall,76D-40JM,Crassulaceae,8,Air Conditioner,http://dummyimage.com/160x100.png/dddddd/000000
Ra-01,Euro,LVu-55GA,1,Cubicle,89b-294c,Cuscutaceae,3,Water Filter,http://dummyimage.com/139x100.png/cc0000/ffffff
KI-3q,Peso,iCI-86wI,2,Cubicle,m3s-53re,Polygonaceae,8,Water Filter,http://dummyimage.com/192x100.png/dddddd/000000
7U-84,Yuan Renminbi,NAY-63IL,5,Conference Hall,C0I-84Ti,Cactaceae,6,Air Conditioner,http://dummyimage.com/229x100.png/5fa2dd/ffffff
EY-3I,Peso,ASU-03R9,9,Conference Hall,w59-61vD,Asteraceae,8,Marker,http://dummyimage.com/159x100.png/cc0000/ffffff
BF-1R,Sol,cMR-44RP,1,Conference Hall,O7N-14ol,Fagaceae,2,Duster,http://dummyimage.com/193x100.png/5fa2dd/ffffff
Fb-6L,Dollar,nUT-07H4,9,Conference Hall,Z8d-933w,Pteridaceae,8,Projector,http://dummyimage.com/154x100.png/dddddd/000000
hI-4c,Rupiah,c2x-59Kd,8,Conference Hall,j7j-76fe,Brassicaceae,5,Monitor,http://dummyimage.com/235x100.png/5fa2dd/ffffff
XB-0M,Real,X2z-87RD,1,Cubicle,Z3L-30Q9,Gomphillaceae,8,Projector,http://dummyimage.com/234x100.png/5fa2dd/ffffff
DE-1c,Rupiah,IPP-20i0,5,Conference Hall,V60-39S7,Amaranthaceae,0,Water Filter,http://dummyimage.com/133x100.png/cc0000/ffffff
jE-88,Euro,m96-14Ks,7,Conference Hall,h7Z-58Gc,Caryophyllaceae,8,Water Filter,http://dummyimage.com/117x100.png/5fa2dd/ffffff
9P-1N,Dong,Sal-92sC,8,Conference Hall,Z5s-22lz,Cyperaceae,5,Air Conditioner,http://dummyimage.com/107x100.png/5fa2dd/ffffff
GU-0I,Peso,ZKl-31C5,8,Conference Hall,706-89CY,Asteraceae,7,Air Conditioner,http://dummyimage.com/248x100.png/5fa2dd/ffffff
Q0-3Z,Sol,rNE-99uZ,7,Conference Hall,z5K-71lJ,Pyrenulaceae,8,Projector,http://dummyimage.com/152x100.png/dddddd/000000
5t-1N,Zloty,YJK-054Z,4,Conference Hall,b1E-63yL,Lobariaceae,3,Monitor,http://dummyimage.com/243x100.png/5fa2dd/ffffff
SA-8P,Franc,a7j-15Ey,10,Conference Hall,z36-39OU,Iridaceae,7,Water Filter,http://dummyimage.com/216x100.png/cc0000/ffffff
jE-67,Yuan Renminbi,tMU-54p0,1,Cubicle,189-56PN,Lecanoraceae,8,Projector,http://dummyimage.com/217x100.png/ff4444/ffffff
xs-7g,Peso,BMg-94Mr,8,Conference Hall,d46-36PD,Orchidaceae,4,Marker,http://dummyimage.com/211x100.png/dddddd/000000
p4-49,Real,SEK-55fb,7,Conference Hall,A5l-977T,Polemoniaceae,6,Water Filter,http://dummyimage.com/238x100.png/5fa2dd/ffffff
Gz-9r,Rupiah,qEN-27y3,1,Conference Hall,g2t-08aP,Brassicaceae,5,Air Conditioner,http://dummyimage.com/144x100.png/dddddd/000000
Fk-8P,Euro,fjz-37wB,7,Conference Hall,N5I-82HV,Cladoniaceae,2,Duster,http://dummyimage.com/233x100.png/dddddd/000000
B2-0g,Real,c0Z-02uw,5,Conference Hall,g1R-85zZ,Flacourtiaceae,2,Marker,http://dummyimage.com/123x100.png/5fa2dd/ffffff
LE-4L,Ruble,Ql3-19Ba,7,Conference Hall,I8U-07H8,Poaceae,0,Water Filter,http://dummyimage.com/126x100.png/ff4444/ffffff
2B-4A,Rupiah,zuA-558a,3,Conference Hall,o0d-83Fs,Fabaceae,0,Water Filter,http://dummyimage.com/193x100.png/5fa2dd/ffffff
LI-5w,Yuan Renminbi,t4q-53v8,7,Conference Hall,v2F-12PC,Scrophulariaceae,7,Water Filter,http://dummyimage.com/134x100.png/cc0000/ffffff
8z-5M,Koruna,10t-85Eu,1,Conference Hall,r5G-19Cl,Asteraceae,6,Water Filter,http://dummyimage.com/177x100.png/ff4444/ffffff
52-9L,Lev,ZKm-49DU,7,Conference Hall,58N-06PO,Asteraceae,6,Monitor,http://dummyimage.com/249x100.png/cc0000/ffffff
bj-5P,Litas,7ga-17yi,5,Conference Hall,E4B-6793,Primulaceae,9,Projector,http://dummyimage.com/107x100.png/cc0000/ffffff
ZO-0D,Yuan Renminbi,6Xi-51in,1,Conference Hall,64T-77I5,Cyperaceae,9,Water Filter,http://dummyimage.com/120x100.png/cc0000/ffffff
0n-46,Dollar,dMZ-86sg,5,Conference Hall,F8V-67FF,Hypnaceae,3,Marker,http://dummyimage.com/102x100.png/dddddd/000000
gT-8c,Yen,2IV-79yT,4,Conference Hall,R1A-65Iv,Brassicaceae,5,Projector,http://dummyimage.com/219x100.png/ff4444/ffffff
kC-05,Rupiah,i9R-75HW,10,Conference Hall,R4a-84oA,Thelotremataceae,9,Projector,http://dummyimage.com/224x100.png/ff4444/ffffff
